Table 1/2: Legal Demands,,,,,,,,,,,,,,,
Time period start,Country,Court Orders,Other legal demands,Combined requests,Court orders compliance rate,Other legal demands compliance rate,Combined compliance rate,Court orders accounts specified,Other legal demands accounts specified,Combined accounts specified,Combined accounts withheld,Combined tweets withheld,Court orders accounts TOS,Other legal demands accounts TOS,Combined accounts TOS
2017-07-01,Qatar,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,1
2017-07-01,Russia,0,1292,1292,(null),(null),(null),0,0,1306,23,630,0,0,224
2017-07-01,Saudi Arabia,0,3,3,(null),(null),(null),0,0,3,0,0,0,0,0
2017-07-01,South Korea,0,145,145,(null),(null),(null),0,0,577,0,0,0,0,394
2017-07-01,Spain,4,11,15,(null),(null),(null),0,0,58,0,0,0,0,8
2017-07-01,Sri Lanka,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2017-07-01,Sweden,0,1,1,(null),(null),(null),0,0,2,0,0,0,0,2
2017-07-01,Switzerland,0,2,2,(null),(null),(null),0,0,4,0,0,0,0,2
2017-07-01,Turkey,466,3828,4294,(null),(null),(null),0,0,6544,148,322,0,0,2157
2017-07-01,United Arab Emirates,0,14,14,(null),(null),(null),0,0,72,0,0,0,0,62
2017-07-01,United Kingdom,5,89,94,(null),(null),(null),0,0,165,7,30,0,0,13
2017-07-01,United States,7,82,89,(null),(null),(null),0,0,162,0,0,0,0,64
2017-07-01,Uruguay,0,5,5,(null),(null),(null),0,0,7,0,0,0,0,7
2017-07-01,Venezuela,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,0
2017-07-01,Worldwide,0,0,0,(null),(null),(null),0,0,0,0,0,0,0,0
2017-01-01,Argentina,0,7,7,(null),(null),(null),0,0,7,0,0,0,0,3
2017-01-01,Australia,1,6,7,(null),(null),(null),0,0,6,0,23,0,0,1
2017-01-01,Bahrain,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,0
2017-01-01,Belgium,0,3,3,(null),(null),(null),0,0,3,0,0,0,0,3
2017-01-01,Brazil,14,20,34,(null),(null),(null),0,0,271,0,25,0,0,18
2017-01-01,Canada,0,11,11,(null),(null),(null),0,0,12,0,0,0,0,5
2017-01-01,Chile,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2017-01-01,Colombia,0,3,3,(null),(null),(null),0,0,3,0,0,0,0,3
2017-01-01,Croatia,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2017-01-01,Dominican Republic,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,2
2017-01-01,Ecuador,0,3,3,(null),(null),(null),0,0,3,0,0,0,0,0
2017-01-01,Finland,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
