Table 1/2: Government Information Requests,,,,,,,,,,,,
Time period start,Country,Routine requests,Emergency requests,Combined requests,Routine compliance rate,Emergency compliance rate,Combined compliance rate,Routine accounts specified,Emergency accounts specified,Combined accounts specified,Preservation accounts,Preservation requests
2017-07-01,Israel,4,1,5,0,1,0.2,6,2,8,0,0
2017-07-01,Italy,41,45,86,0.29,0.64,0.48,56,59,115,6,5
2017-07-01,Japan,1309,209,1518,0.68,0.63,0.67,1784,229,2013,0,0
2017-07-01,Jordan,0,10,10,(null),0,0,0,14,14,0,0
2017-07-01,Kuwait,2,3,5,0,0.33,0.2,4,3,7,0,0
2017-07-01,Luxembourg,0,0,0,(null),(null),(null),0,0,0,1,1
2017-07-01,Maldives,8,0,8,0,(null),0,0,0,0,0,0
2017-07-01,Mexico,8,13,21,0,0.77,0.48,20,13,33,2,2
2017-07-01,Netherlands,4,5,9,0.25,0.6,0.44,12,5,17,8,5
2017-07-01,Pakistan,13,11,24,0,0,0,14,11,25,6,5
2017-07-01,Panama,0,2,2,(null),0,0,0,2,2,0,0
2017-07-01,Paraguay,1,1,2,0,0,0,1,1,2,0,0
2017-07-01,Philippines,0,1,1,(null),0,0,0,1,1,0,0
2017-07-01,Poland,5,4,9,0,0,0,5,4,9,0,0
2017-07-01,Portugal,4,1,5,0.5,1,0.6,4,1,5,0,0
2017-07-01,Qatar,6,1,7,0,0,0,9,1,10,1,1
2017-07-01,Saudi Arabia,0,30,30,(null),0.23,0.23,0,44,44,0,0
2017-07-01,Serbia,2,9,11,0,0,0,2,14,16,0,0
